recipe,alfredo pasta,amatriciana pasta,arrabbiata pasta,broccoli garlic pasta,butter parmesan pasta,cacio e pepe,cacio e uova,carbonara,carbonara bianca,clam pasta,garlic oil pasta,gnocchi pesto,gnocchi pomodoro,gricia,ham and pea pasta,lemon butter pasta,marinara pasta,mushroom cream pasta,pea butter pasta,pea pesto pasta,pesto pasta,pomodoro pasta,puttanesca pasta,scrambled carbonara,shrimp garlic pasta,spinach pesto pasta,tuna tomato pasta,vodka sauce pasta,zucchini sauce pasta
garlic oil pasta,0.7939,0.7497,0.8091,0.8159,0.8260,0.7768,0.7206,0.7482,0.7293,0.7854,1.0000,0.5036,0.5928,0.7504,0.7568,0.7474,0.7995,0.7646,0.7675,0.6318,0.6998,0.7416,0.8026,0.6970,0.8179,0.6505,0.7456,0.7742,0.7674
gnocchi pesto,0.4949,0.5032,0.5019,0.4766,0.4908,0.5126,0.5101,0.5202,0.5225,0.4805,0.5036,1.0000,0.6423,0.4994,0.4909,0.5021,0.4947,0.4806,0.4830,0.5444,0.7316,0.4591,0.5009,0.4663,0.4882,0.5614,0.4561,0.4701,0.5197
gnocchi pomodoro,0.5721,0.6102,0.6239,0.5914,0.5432,0.5115,0.5291,0.5384,0.5399,0.5627,0.5928,0.6423,1.0000,0.5413,0.6285,0.5323,0.7479,0.5690,0.5384,0.5731,0.5263,0.7829,0.6455,0.5191,0.5835,0.5454,0.6766,0.6839,0.6110
gricia,0.7695,0.7962,0.7373,0.7354,0.7715,0.8279,0.7781,0.8782,0.8435,0.6980,0.7504,0.4994,0.5413,1.0000,0.7261,0.7589,0.7376,0.7841,0.7860,0.6664,0.6813,0.7186,0.7232,0.8146,0.7286,0.6484,0.7229,0.7294,0.7584
ham and pea pasta,0.7952,0.7254,0.7290,0.7403,0.7735,0.7027,0.6523,0.7202,0.7132,0.7252,0.7568,0.4909,0.6285,0.7261,1.0000,0.7446,0.7665,0.8499,0.8151,0.7423,0.6578,0.7362,0.7537,0.7143,0.7318,0.6686,0.7769,0.8225,0.7149
lemon butter pasta,0.8333,0.7207,0.7017,0.6944,0.8294,0.7395,0.7231,0.7496,0.7328,0.6957,0.7474,0.5021,0.5323,0.7589,0.7446,1.0000,0.6800,0.7885,0.8159,0.6702,0.7316,0.6875,0.6947,0.6676,0.6942,0.6586,0.7000,0.7128,0.7125
marinara pasta,0.7608,0.7602,0.8519,0.7987,0.7497,0.7095,0.6857,0.7303,0.7166,0.7854,0.7995,0.4947,0.7479,0.7376,0.7665,0.6800,1.0000,0.7560,0.6977,0.6792,0.6497,0.8682,0.8492,0.7004,0.7951,0.6564,0.8344,0.8627,0.7885
mushroom cream pasta,0.8660,0.7470,0.7406,0.7478,0.8318,0.7358,0.7149,0.7980,0.7702,0.7353,0.7646,0.4806,0.5690,0.7841,0.8499,0.7885,0.7560,1.0000,0.7993,0.6558,0.6808,0.7210,0.7450,0.7215,0.7573,0.6597,0.7558,0.7961,0.7575
pea butter pasta,0.8615,0.7372,0.6798,0.7103,0.8582,0.7477,0.7389,0.7667,0.7573,0.6796,0.7675,0.4830,0.5384,0.7860,0.8151,0.8159,0.6977,0.7993,1.0000,0.7866,0.7317,0.6889,0.6940,0.7104,0.6946,0.6517,0.6744,0.7166,0.7263
pea pesto pasta,0.7059,0.6525,0.6432,0.6506,0.7053,0.6657,0.6701,0.6662,0.6592,0.6218,0.6318,0.5444,0.5731,0.6664,0.7423,0.6702,0.6792,0.6558,0.7866,1.0000,0.6962,0.7009,0.6388,0.6267,0.6245,0.8369,0.6388,0.6520,0.6449
pesto pasta,0.7468,0.6685,0.6500,0.6599,0.7626,0.7114,0.6857,0.6900,0.6867,0.6517,0.6998,0.7316,0.5263,0.6813,0.6578,0.7316,0.6497,0.6808,0.7317,0.6962,1.0000,0.6645,0.6449,0.6433,0.6674,0.6860,0.6496,0.6633,0.6592
pomodoro pasta,0.7599,0.7168,0.7878,0.7508,0.7587,0.6940,0.7152,0.6977,0.6795,0.7426,0.7416,0.4591,0.7829,0.7186,0.7362,0.6875,0.8682,0.7210,0.6889,0.7009,0.6645,1.0000,0.8036,0.6960,0.7635,0.6755,0.8477,0.8492,0.7819
puttanesca pasta,0.7656,0.7667,0.8946,0.8108,0.7417,0.6906,0.6997,0.7057,0.6864,0.8105,0.8026,0.5009,0.6455,0.7232,0.7537,0.6947,0.8492,0.7450,0.6940,0.6388,0.6449,0.8036,1.0000,0.7102,0.8195,0.6637,0.8258,0.8394,0.8240
scrambled carbonara,0.7282,0.7883,0.7324,0.7271,0.7240,0.6848,0.7193,0.8297,0.7960,0.7008,0.6970,0.4663,0.5191,0.8146,0.7143,0.6676,0.7004,0.7215,0.7104,0.6267,0.6433,0.6960,0.7102,1.0000,0.7393,0.6191,0.7131,0.7378,0.7418
shrimp garlic pasta,0.7563,0.7227,0.8283,0.8373,0.7420,0.6962,0.6702,0.7220,0.6990,0.8326,0.8179,0.4882,0.5835,0.7286,0.7318,0.6942,0.7951,0.7573,0.6946,0.6245,0.6674,0.7635,0.8195,0.7393,1.0000,0.6162,0.7874,0.7867,0.8003
spinach pesto pasta,0.6901,0.6521,0.6453,0.6484,0.7024,0.6555,0.6845,0.6468,0.6403,0.6206,0.6505,0.5614,0.5454,0.6484,0.6686,0.6586,0.6564,0.6597,0.6517,0.8369,0.6860,0.6755,0.6637,0.6191,0.6162,1.0000,0.6450,0.6453,0.6505
tuna tomato pasta,0.7532,0.7506,0.8070,0.7682,0.7479,0.6969,0.6791,0.7021,0.6842,0.7826,0.7456,0.4561,0.6766,0.7229,0.7769,0.7000,0.8344,0.7558,0.6744,0.6388,0.6496,0.8477,0.8258,0.7131,0.7874,0.6450,1.0000,0.8875,0.8041
vodka sauce pasta,0.7864,0.7518,0.8327,0.7787,0.7655,0.7178,0.6708,0.7104,0.7019,0.7776,0.7742,0.4701,0.6839,0.7294,0.8225,0.7128,0.8627,0.7961,0.7166,0.6520,0.6633,0.8492,0.8394,0.7378,0.7867,0.6453,0.8875,1.0000,0.8317
zucchini sauce pasta,0.7650,0.7876,0.8256,0.7759,0.7472,0.7071,0.6857,0.7361,0.7201,0.7698,0.7674,0.5197,0.6110,0.7584,0.7149,0.7125,0.7885,0.7575,0.7263,0.6449,0.6592,0.7819,0.8240,0.7418,0.8003,0.6505,0.8041,0.8317,1.0000
